"fullName","description","isFork","createdAgo","pushedAgo","stars","watchers","forks","issues","pullRequests","releases","topics","mentionable","assignable","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-48","T-47","T-46","T-45","T-44","T-43","T-42","T-41","T-40","T-39","T-38","T-37","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"jadore801120/attention-is-all-you-need-pytorch","A PyTorch implementation of the Transformer model in ""Attention is All You Need"".",false,1323.4,15.5,4784,90,1236,144,24,0,"attention, deep-learning, attention-is-all-you-need, pytorch, nlp, natural-language-processing",7,1,1236,4.53,37.86,18.66,5.71,5.64,4.6,4.18,3.72,3.5,4.02,,3.63,0,0,0,0,0,123,251,296,344,375,433,513,571,652,717,825,898,1014,1097,1179,1270,1396,1534,1665,1839,1998,2179,2337,2483,2657,2809,2916,3064,3159,3269,3410,3496,3574,3688,3791,3885,4004,4095,4190,4285,4393,4494,4633,4775
"bojone/bert4keras","keras implement of transformers for humans",false,520.7,5.7,2777,64,517,277,14,24,"",5,1,854,3.13,45.07,18.53,5.43,5.64,4.87,6.5,6.33,5.56,,,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,167,331,467,626,738,815,988,1142,1291,1441,1611,1820,1993,2172,2432,2617,2767
"thunlp/PLMpapers","Must-read Papers on pre-trained language models.",false,492.2,33.5,2183,110,306,10,8,0,"",26,48,727,2.66,48.81,18.52,1.29,1.36,1.91,2.15,1.81,2.21,,,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,877,1122,1294,1373,1466,1577,1680,1728,1803,1849,1901,1948,1985,2069,2122,2182
"PaddlePaddle/ERNIE","An Implementation of ERNIE For Language Understanding (including Pre-training models and Fine-tuning tools)",false,696.5,2.5,3919,177,926,447,172,6,"bert, nlp, natural-language-processing, language-understanding, ernie",40,317,1052,3.86,39.34,18.14,1.43,1.86,1.97,2.37,2.67,2.93,,,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,892,1033,1241,1433,2108,2321,2441,2549,2690,2843,2894,2981,3072,3189,3312,3422,3515,3610,3695,3776,3850,3912
"jessevig/bertviz","Tool for visualizing attention in the Transformer model (BERT, GPT-2, Albert, XLNet, RoBERTa, CTRL, etc.)",false,773.1,3.8,2429,59,409,61,3,0,"natural-language-processing, machine-learning, visualization, neural-network, pytorch, nlp, bert",3,1,764,2.8,46.1,18.12,1.71,2.29,2.63,2.94,3,3.1,2.98,,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,246,312,416,479,543,591,669,778,874,958,1044,1205,1290,1380,1467,1571,1695,1789,1875,1980,2076,2155,2252,2342,2423
"ymcui/Chinese-XLNet","Pre-Trained Chinese XLNet（中文XLNet预训练模型）",false,562.5,0.7,1175,31,221,57,2,0,"natural-language-processing, xlnet, tensorflow, pytorch, nlp",1,1,454,1.66,56.63,17.47,1,1.07,0.82,0.89,1.01,1.21,,,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,278,469,564,644,698,731,759,817,880,922,961,990,1031,1062,1093,1114,1150,1180
"huggingface/tokenizers","💥 Fast State-of-the-Art Tokenizers optimized for Research and Production",false,453.1,9.1,4191,75,310,359,251,38,"nlp, natural-language-processing, natural-language-understanding, language-model, transformers, bert, gpt",58,30,1003,3.68,35.07,16.54,3,2.64,2.83,3.86,3.88,6.56,,,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1788,2195,2430,2689,2869,3287,3474,3607,3721,3830,3977,4097,4184
"ChineseGLUE/ChineseGLUE","Language Understanding Evaluation benchmark for Chinese: datasets, baselines, pre-trained models,corpus and leaderboard",false,480.1,24.7,1396,62,210,32,59,0,"glue, language-understanding, bert, pre-trained-model, chinese-corpus, nlp, albert, datasets",12,17,476,1.74,49.97,16.33,1,0.86,0.79,0.84,0.88,1.12,,,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,728,924,987,1015,1088,1134,1169,1198,1236,1257,1293,1319,1347,1371,1396
"dbiir/UER-py","Open Source Pre-training Model Framework in PyTorch & Pre-trained Model Zoo",false,658.3,1.5,1175,60,216,82,24,0,"bert, pre-training, fine-tuning, gpt, chinese, nlp, natural-language-processing, pytorch, elmo, classification, ner, t5, unilm, roberta, albert, clue",17,9,420,1.54,52.39,16.17,1.43,1.36,1.55,2.29,1.97,1.54,,,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,187,334,402,458,497,532,570,609,629,659,710,753,784,812,841,901,963,1035,1124,1173
"OpenNMT/OpenNMT-py","Open Source Neural Machine Translation in PyTorch",false,1435,1.9,4792,166,1773,1198,803,28,"deep-learning, pytorch, machine-translation, neural-machine-translation",154,9,1050,3.85,32.11,15.83,3.29,2.71,2.66,3.01,2.77,2.93,3.3,,3.34,0,54,127,196,248,295,354,416,479,561,657,744,859,961,1060,1194,1304,1419,1582,1698,1814,1932,2076,2206,2371,2491,2639,2775,2891,3006,3109,3211,3324,3420,3536,3637,3713,3797,3915,4004,4102,4176,4276,4357,4422,4506,4607,4700,4783
"huawei-noah/Pretrained-Language-Model","Pretrained language model and its related optimization techniques developed by Huawei Noah's Ark Lab.",false,422.2,21.7,1502,45,293,103,0,0,"pretrained-language-model, knowledge-distillation, model-compression",3,3,484,1.77,47.23,15.82,2.14,2.14,1.78,2.33,2.32,2.35,,,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,634,701,799,868,935,998,1066,1121,1206,1276,1363,1436,1491
"google-research/text-to-text-transfer-transformer","Code for the paper ""Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer""",false,467.9,0.8,3156,99,428,316,355,1,"",29,30,794,2.91,36.87,15.82,3.43,3.21,2.83,2.85,2.69,4.5,,,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,1176,1339,1505,1801,2039,2354,2470,2584,2656,2734,2807,2887,2982,3061,3149
"tomohideshibata/BERT-related-papers","BERT-related papers",false,595.3,3.5,1478,82,199,2,19,0,"",17,1,470,1.72,46.6,15.52,0.71,0.93,1.08,1.52,1.66,3.04,,,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,75,121,261,319,353,365,391,884,1033,1095,1127,1172,1221,1282,1335,1393,1441,1476
"bentrevett/pytorch-seq2seq","Tutorials on implementing a few sequence-to-sequence (seq2seq) models with PyTorch and TorchText.",false,925.3,9.4,2495,57,696,144,9,0,"pytorch, seq2seq, sequence-to-sequence, tutorial, rnn, gru, lstm, torchtext, pytorch-tutorial, pytorch-implmention, encoder-decoder, encoder-decoder-model, neural-machine-translation, pytorch-seq2seq, attention, transformer, cnn-seq2seq, pytorch-implementation, pytorch-tutorials, pytorch-nlp",6,1,663,2.43,38.94,15.45,4,3.79,4.08,3.67,3.57,4.07,3.33,,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,21,30,54,139,198,276,338,396,471,569,658,742,827,916,996,1115,1259,1421,1560,1686,1833,1944,2038,2148,2263,2360,2484
"google/sentencepiece","Unsupervised text tokenizer for Neural Network-based text generation.",false,1422.4,15.1,4750,117,644,411,208,20,"neural-machine-translation, natural-language-processing, word-segmentation",50,5,1001,3.67,30.88,15.18,3.14,3.36,2.83,3.39,3.24,3.41,3.86,,3.34,0,0,349,418,450,479,556,584,603,632,683,728,764,787,824,896,1004,1088,1191,1301,1379,1474,1618,1752,1923,2054,2169,2351,2475,2610,2757,2891,3007,3119,3272,3396,3500,3629,3739,3835,3956,4067,4152,4236,4342,4433,4548,4656,4744
"PyTorchLightning/pytorch-lightning","The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",false,668.8,0.7,11643,207,1343,2746,2845,40,"python, deep-learning, artificial-intelligence, ai, pytorch, data-science, machine-learning",387,28,1791,6.56,22.54,14.94,22.14,20.29,22.65,25.33,26,22.74,,,17.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,220,223,248,1753,2064,2459,2728,3069,3311,3681,4306,4941,5598,6111,6865,7472,8401,9299,10284,10921,11612
"flairNLP/flair","A very simple framework for state-of-the-art Natural Language Processing (NLP)",false,961.4,2.9,9844,203,1473,1423,660,16,"pytorch, nlp, named-entity-recognition, sequence-labeling, semantic-role-labeling, word-embeddings, natural-language-processing, machine-learning",133,15,1581,5.79,23.54,14.75,3.71,4.21,4.34,4.32,4.67,5.36,7.54,,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,187,301,388,553,672,1267,4333,4931,5349,5645,5951,6232,6538,6822,7059,7295,7508,7697,7877,8043,8196,8349,8540,8827,8984,9162,9322,9442,9561,9703,9836
"microsoft/unilm","UniLM - Unified Language Model Pre-training / Pre-training for NLP and Beyond",false,554.6,8.5,1769,71,390,278,15,3,"nlp, language-understanding, language-generation, document-understanding, pre-trained-model, small-pre-trained-model, unilm, minilm, layoutlm, s2s-ft, infoxlm, multimodal-pre-trained-model",10000,19454,501,1.84,41.51,14.68,2.71,3.29,2.6,2.74,2.99,3.48,,,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,306,428,494,546,791,908,1030,1142,1221,1314,1426,1517,1614,1688,1768
"DA-southampton/NLP_ability","总结梳理自然语言处理工程师(NLP)需要积累的各方面知识，包括面试题，各种基础知识，工程能力等等，提升核心竞争力",false,225.7,13.5,1511,59,273,3,0,0,"",1,1,447,1.64,43.36,14.55,4.57,3.86,4.41,5.02,5.86,,,,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,435,761,911,1047,1214,1371,1506
"thunlp/ERNIE","Source code and dataset for ACL 2019 paper ""ERNIE: Enhanced Language Representation with Informative Entities""",false,621.6,1.5,1093,25,206,66,3,0,"",23,48,353,1.29,47.33,14.26,0.43,0.43,0.53,0.72,0.69,0.73,,,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,485,564,637,687,737,776,813,826,843,870,887,915,944,966,988,1003,1025,1050,1075,1093
"InsaneLife/ChineseNLPCorpus","中文自然语言处理数据集，平时做做实验的材料。欢迎补充提交合并。",false,788.4,41.3,1921,69,460,6,2,0,"",3,1,503,1.84,38.37,13.95,1.86,2,2.17,3.02,2.62,2.5,2.61,,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,19,31,59,319,438,530,590,745,819,937,999,1057,1140,1214,1276,1363,1433,1496,1573,1636,1748,1846,1914
"openai/gpt-2","Code for the paper ""Language Models are Unsupervised Multitask Learners""",false,716.6,3.6,14006,592,3560,214,66,0,"paper",19,6,1858,6.81,19.44,13.7,7.57,7.79,7.33,7.29,8.72,9.47,,,19.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,4558,4992,5765,6235,6775,7302,7732,8174,9720,10195,10527,10832,11085,11340,11605,11963,12393,12865,13125,13320,13560,13762,13987
"songyingxin/NLPer-Interview","该仓库主要记录 NLP 算法工程师相关的面试题",false,559.7,28.3,1159,45,292,3,0,0,"",1,1,351,1.29,44.38,13.63,1.86,1.64,1.48,1.44,1.46,1.87,,,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,179,358,438,470,505,578,635,800,837,887,933,981,1022,1064,1109,1155
"makcedward/nlpaug","Data augmentation for NLP ",false,678.7,13.6,1577,30,188,108,94,18,"nlp, augmentation, machine-learning, artificial-intelligence, data-science, natural-language-processing, adversarial-attacks, adversarial-example, ai, ml",12,1,425,1.56,39.5,13.44,1.86,2.43,2.53,3.16,3.22,3.01,,,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,52,87,135,170,210,316,391,467,524,557,605,747,858,981,1095,1185,1279,1407,1490,1569
"thunlp/OpenNRE"," An Open-Source Package for Neural Relation Extraction (NRE)",false,1431.5,12.7,2950,118,858,303,19,0,"relation-extraction",33,48,643,2.36,31.94,13.4,1.43,1.57,1.55,1.93,2.04,2.22,2.55,,2.06,0,0,126,148,165,181,203,222,239,255,281,298,320,339,377,406,433,464,550,619,763,854,923,1012,1087,1133,1237,1332,1394,1447,1510,1575,1631,1707,1957,2059,2138,2187,2280,2360,2444,2509,2574,2638,2708,2770,2836,2900,2948
"FudanNLP/nlp-beginner","NLP上手教程",false,1400.2,23.5,3582,103,973,1,2,0,"fudannlp, step-by-step",3,5,726,2.66,29.7,13.29,2,1.93,2.6,2.73,2.47,3.17,4.7,,2.56,0,0,0,1,1,2,2,5,13,15,19,24,28,34,63,71,74,80,91,99,114,122,134,143,149,154,163,175,1150,1396,1667,1836,1969,2071,2229,2339,2424,2477,2560,2685,2942,3045,3129,3187,3257,3331,3428,3501,3582
"nlpyang/BertSum","Code for paper Fine-tune BERT for Extractive Summarization",false,674.7,28.1,955,31,301,99,9,0,"",1,1,297,1.09,45.58,13.13,1.14,1.14,0.66,0.71,0.77,0.98,,,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,169,225,285,356,399,436,481,524,569,594,616,653,695,738,774,811,841,871,888,909,932,954
"marcotcr/checklist","Beyond Accuracy: Behavioral Testing of NLP models with CheckList",false,324.1,27.9,1204,23,100,56,13,0,"",6,3,343,1.26,41.75,12.99,1.14,2,2.07,2.29,3.25,,,,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,57,607,761,897,991,1076,1137,1200
"songyouwei/ABSA-PyTorch","Aspect Based Sentiment Analysis, PyTorch Implementations.  基于方面的情感分析，使用PyTorch实现。",false,994.2,29.6,1134,39,356,127,39,0,"sentiment-analysis, aspect-based-sentiment-analysis, bert, attention, natural-language-processing, nlp, sentiment-classification",8,3,329,1.21,42.52,12.97,1.43,1.36,1.08,1.62,1.2,1.17,1.41,,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,25,32,37,51,63,75,101,119,152,240,310,359,419,472,509,554,610,664,705,728,772,807,844,877,912,940,968,983,1041,1097,1132
"stanfordnlp/stanza","Official Stanford NLP Python Library for Many Human Languages",false,1219.5,1.8,5135,150,647,443,164,7,"python, nlp, natural-language-processing, machine-learning, deep-learning, artificial-intelligence, pytorch, universal-dependencies, named-entity-recognition, corenlp",33,116,900,3.3,25.69,12.96,3.57,3.5,5.19,4.28,4,6.82,,,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,1589,1702,1797,1862,2146,2256,2323,2420,2499,2571,2642,2703,3435,3965,4123,4262,4401,4539,4654,4739,4842,4973,5131
"utterworks/fast-bert","Super easy library for BERT based NLP models",false,649.9,40.9,1484,39,305,225,54,5,"bert, fast-bert, fastai, transformers",24,4,390,1.43,38.52,12.85,0.71,0.5,0.69,0.81,1.04,1.57,,,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,238,269,322,532,656,750,842,907,966,1061,1131,1191,1244,1290,1333,1379,1407,1437,1460,1482
"rusty1s/pytorch_geometric","Geometric Deep Learning Extension Library for PyTorch",false,1209.2,2.5,10055,235,1721,1765,282,23,"pytorch, geometric-deep-learning, graph-neural-networks",120,4,1369,5.02,19.95,12.59,8.86,10.21,9.11,9.37,9.87,10.4,12.29,,8.47,0,0,0,0,0,0,0,0,0,0,3,24,27,36,38,55,65,392,458,490,513,653,726,875,1056,1236,2745,3254,3609,3972,4397,4692,4988,5310,5630,5984,6232,6504,6819,7168,7550,7924,8228,8554,8876,9173,9437,9752,10030
"Morizeyao/GPT2-Chinese","Chinese version of GPT2 training code, using BERT tokenizer.",false,607.7,24.3,3540,135,905,165,22,0,"transformer, gpt-2, chinese, nlp, text-generation",4,1,679,2.49,28.11,12.53,5.43,5.29,4.34,4.93,4.99,5.2,,,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,404,722,820,1286,1508,1629,1719,1842,2065,2358,2501,2617,2791,2962,3077,3233,3395,3529
"huggingface/datasets","🤗 The largest hub of ready-to-use NLP datasets for ML models with fast, easy-to-use and efficient data manipulation tools",false,307.4,0.9,6588,209,694,472,1302,13,"nlp, datasets, metrics, evaluation, pytorch, tensorflow, pandas, numpy, natural-language-processing, computer-vision",219,30,1016,3.72,22.6,12.39,10.14,12.5,22.98,24.36,20.91,,,,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,1402,2762,2930,3298,4355,4557,5879,6579
"google-research/google-research","Google Research",false,846,0.9,15431,658,3200,370,132,0,"machine-learning, ai, research",275,29,1765,6.47,16.76,12.2,22.86,22.14,17.82,25.19,21.56,24.25,19.25,,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,487,1096,1324,1396,1523,1665,1801,2023,2390,3016,3367,4011,5749,6218,6524,7308,8688,9505,10006,10418,11441,12148,12588,13078,14212,14835,15378
"kpe/bert-for-tf2","A Keras TensorFlow 2.0 implementation of BERT, ALBERT and adapter-BERT.",false,616.5,6.1,670,34,143,80,5,0,"bert, keras, tensorflow, transformer",3,1,218,0.8,47.68,12.2,0.43,0.64,0.49,0.46,0.62,0.85,,,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,25,30,48,158,246,302,355,386,419,454,490,520,554,588,610,624,639,651,668
"airaria/TextBrewer","A PyTorch-based knowledge distillation toolkit for natural language processing",false,337.4,20.5,648,19,100,33,7,7,"bert, pytorch, nlp, knowledge, distillation",3,2,213,0.78,48.17,12.19,0.86,1.36,1.15,1.56,1.53,,,,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,215,272,315,364,415,472,501,555,609,645
"allenai/longformer","Longformer: The Long-Document Transformer",false,301.9,14,948,38,117,145,20,2,"",26,193,270,0.99,41.74,11.99,0.43,1,1.15,1.34,1.49,,,,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,515,581,670,717,776,820,858,907,943
"THUNLP-MT/MT-Reading-List","A machine translation reading list maintained by Tsinghua Natural Language Processing Group",false,786.4,23.5,1930,149,402,21,32,0,"machine-translation, reading-list",17,14,431,1.58,32.73,11.92,0.86,0.86,1.15,1.08,1.13,1.11,1.38,,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,921,983,1051,1107,1159,1219,1269,1328,1385,1426,1474,1506,1526,1553,1588,1618,1658,1683,1724,1754,1794,1831,1867,1894,1931
"shibing624/pycorrector","pycorrector is a toolkit for text error correction. It was developed to facilitate the designing, comparing, and sharing of deep text error correction models.",false,1063.4,2.6,1975,68,533,169,19,0,"spelling-errors, error-correction, pycorrector, kenlm, bert, electra, seq2seq-attention, deep-learning-models, error-detection",8,1,436,1.6,32.35,11.87,1.57,2.29,2.43,2.64,2.78,2.89,2.33,,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,21,31,44,55,67,137,184,224,266,295,338,397,440,477,535,602,669,713,781,857,915,946,1010,1083,1226,1365,1462,1567,1657,1728,1807,1895,1971
"didi/ChineseNLP","Datasets, SOTA results of every fields of Chinese NLP",false,622.7,16.6,1145,57,214,7,28,0,"nlp, chinese-nlp, machine-translation, chinese-word-segmentation, entity-linking, question-answering, nlp-tasks",22,130,303,1.11,38.78,11.87,1,1.5,1.28,1.49,1.62,1.32,,,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,286,440,505,554,622,657,690,726,761,785,802,842,903,954,1001,1047,1098,1139
