"fullName","description","isFork","createdAgo","pushedAgo","stars","watchers","forks","issues","pullRequests","releases","topics","mentionable","assignable","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-48","T-47","T-46","T-45","T-44","T-43","T-42","T-41","T-40","T-39","T-38","T-37","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"Tautulli/Tautulli","A Python based monitoring and tracking tool for Plex Media Server.",false,2172.2,4.1,3731,264,534,0,372,173,"plex, plexpy, python, monitoring, notifications, statistics, stats, analytics, tautulli",60,4,257,1.07,14.69,6.13,2.43,2.43,2.07,1.72,1.53,1.66,1.54,1.84,1.8,1033,1120,1186,1249,1289,1350,1400,1452,1517,1568,1620,1746,1837,1917,2041,2119,2162,2216,2263,2326,2390,2449,2509,2554,2607,2661,2721,2783,2840,2871,2911,2942,2980,3013,3051,3081,3122,3171,3226,3293,3363,3409,3449,3480,3527,3570,3610,3665,3728
"ansible/awx","AWX Project",false,1357.2,0,8989,364,2314,5319,3887,3,"python, ansible, javascript, django, django-rest-framework, awx, automation, reactjs",331,59,461,1.92,10.93,6.12,7.29,6.43,5.46,5.14,4.97,5.13,5.47,,7.23,0,0,0,0,0,0,0,0,1929,2503,2698,2882,3079,3273,3464,3636,3784,3930,4069,4204,4346,4502,4675,4828,4985,5160,5357,5538,5715,5970,6173,6325,6493,6631,6788,6951,7107,7246,7417,7587,7771,7931,8074,8212,8379,8512,8680,8815,8981
"ytti/oxidized","Oxidized is a network device configuration backup tool. It's a RANCID replacement!",false,2848.3,21.3,1638,134,628,1304,951,0,"nms, network, backup, rancid",261,10,146,0.61,19,6.03,0.71,0.86,1.05,0.89,0.79,0.84,0.86,0.79,0.57,441,463,500,521,551,576,597,623,650,668,683,698,721,742,769,794,820,841,859,891,914,947,975,991,1011,1034,1064,1089,1116,1134,1163,1187,1215,1245,1272,1296,1332,1359,1388,1416,1444,1466,1491,1514,1541,1555,1579,1604,1638
"robcowart/elastiflow","Network flow analytics (Netflow, sFlow and IPFIX) with the Elastic Stack",false,1372.6,0.1,2074,149,464,619,67,27,"netflow, ipfix, sflow, elasticsearch, logstash, kibana, elk",10,1,166,0.69,17.06,5.86,1.71,1.5,1.71,2.03,1.9,1.94,1.91,,1.51,0,0,0,1,2,3,17,30,41,87,108,141,180,226,281,307,345,384,415,459,505,538,579,619,676,733,808,857,918,1002,1041,1103,1152,1205,1256,1299,1361,1414,1477,1539,1645,1686,1721,1780,1841,1883,1946,2016,2069
"librenms/librenms","Community-based GPL-licensed network monitoring system",false,2654.8,0.2,2163,136,1531,3495,8853,89,"network, monitoring, php, rrd, librenms, snmp, laravel, hacktoberfest",852,16,168,0.7,16.56,5.76,1.43,1.57,1.51,1.25,1.28,1.23,1.25,1.02,0.81,554,567,586,612,638,667,695,719,748,789,818,842,884,913,946,980,1014,1040,1069,1099,1126,1150,1169,1196,1241,1286,1357,1394,1435,1466,1514,1561,1591,1619,1651,1675,1709,1746,1782,1814,1861,1895,1925,1951,1998,2043,2081,2112,2159
"allinurl/goaccess","GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.",false,2760.8,0.3,12693,278,864,1741,262,0,"goaccess, c, real-time, data-analysis, analytics, nginx, apache, webserver, web-analytics, monitoring, dashboard, command-line, gdpr, privacy, cli, tui, google-analytics, ncurses",109,1,546,2.27,9.17,5.76,6.86,5.64,5.46,4.79,4.94,5.82,6.32,5.81,4.6,4404,4605,4782,4977,5133,5254,5350,5482,5594,5700,5840,5964,6161,6285,6422,6567,6697,6807,7034,7155,7333,7484,7634,7863,8068,8223,8449,8606,8859,9008,9179,9492,9648,9901,10103,10373,10559,10693,10847,11026,11242,11615,11781,11961,12108,12247,12381,12518,12684
"kubernetes/kubernetes","Production-Grade Container Scheduling and Management",false,2432.9,0.1,74047,3292,26817,37404,61252,446,"kubernetes, go, cncf, containers",3175,1090,1761,7.32,5.07,5.73,34.43,32.5,29.62,32.65,32.3,33.7,38.22,34.21,30.47,19023,19892,20792,21584,22367,23187,24136,25059,25876,26933,28052,29129,30420,31586,32966,34211,35455,36628,37907,39197,40459,41657,42989,44597,46062,47404,49048,50514,52020,53296,54668,55947,57103,58228,59421,60652,61664,62619,63630,64755,65845,66976,68071,69113,70088,70986,71885,73065,73966
"portainer/portainer","Making Docker and Kubernetes management easy.",false,1720.1,0.2,17120,437,1586,3161,1645,76,"docker, docker-swarm, ui, docker-deployment, docker-compose, docker-container, docker-image, portainer, docker-ui, dockerfile, moby, hacktoberfest",184,18,656,2.73,8.17,5.67,9.14,10,9.83,8.81,10.91,9.7,9.31,,10.03,1996,2336,2678,3103,3484,3772,4087,4422,4732,5089,5537,5838,6253,6587,7046,7402,7726,8066,8433,8724,9070,9382,9712,10000,10304,10533,10827,11155,11446,11760,12065,12307,12570,12818,13070,13372,13564,13839,14081,14310,14623,14881,15111,15416,16036,16298,16554,16803,17104
"librespeed/speedtest","Self-hosted Speedtest for HTML5 and more. Easy setup, examples, configurable, mobile friendly. Supports PHP, Node, Multiple servers, and more",false,1796.4,2.3,5462,233,1270,293,102,35,"html5-speedtest, speedtest, web-worker, xhr, internet-speed, internet-speed-checker, php, librespeed, hacktoberfest",28,5,296,1.23,11.55,5.48,5.57,6,6.48,5.98,5.39,6.53,5.2,,3.04,44,59,68,80,106,163,203,324,374,440,516,589,663,749,818,877,973,1034,1106,1232,1315,1388,1482,1568,1652,1729,1844,1985,2099,2212,2328,2461,2595,2720,2830,2952,3064,3213,3495,3823,4105,4314,4466,4602,4757,4903,5089,5252,5450
"acmesh-official/acme.sh","A pure Unix shell script implementing ACME client protocol",false,1865.4,2.9,20968,469,2867,1938,1436,30,"acme, acme-protocol, letsencrypt, certbot, shell, ash, bash, posix, posix-sh, zerossl, buypass, acme-client",299,5,720,2.99,7.32,5.43,11.14,12.93,12.92,15.69,13.65,14.39,14.03,11.32,11.23,2160,2361,2542,2715,2861,3103,3328,3483,3668,3869,4056,4268,4629,5444,6693,7143,7526,7965,8335,8828,9194,9530,9882,10265,10693,11062,11639,12062,12468,12900,13297,13635,14075,14458,14930,15328,15684,16219,16674,17115,17576,17983,18444,18777,19145,19503,20027,20542,20936
"Ombi-app/Ombi","Want a Movie or TV Show on Plex or Emby? Use Ombi!",false,1804.4,0.4,2417,117,335,3373,648,93,"plex, emby, notifications, docker, movie, tv, nzb, windows, linux, hacktoberfest",86,5,168,0.7,14.82,5.35,2.29,3.14,2.3,2.05,1.62,1.59,1.51,,1.34,289,350,416,470,498,535,575,622,663,706,743,770,812,862,943,982,1011,1044,1074,1112,1148,1188,1221,1255,1308,1350,1398,1446,1485,1515,1550,1583,1627,1675,1752,1794,1831,1875,1929,1989,2044,2082,2117,2146,2183,2226,2289,2343,2413
"CISOfy/lynis","Lynis - Security auditing tool for Linux, macOS, and UNIX-based systems. Assists with compliance testing (HIPAA/ISO27001/PCI DSS) and system hardening. Agentless, and installation optional.",false,2611.3,11.3,8115,326,1005,584,521,52,"shell, linux, pci-dss, compliance, security-audit, security-hardening, security-scanner, security-vulnerability, hipaa, unix, vulnerability-detection, vulnerability-scanners, vulnerability-assessment, devops, devops-tools, system-hardening, hardening, auditing, gdpr, security-tools",157,1,375,1.56,9.85,5.33,2.43,2.71,3.32,3.46,3.29,4.43,3.81,4.2,3.45,3085,3176,3274,3384,3484,3559,3630,3693,3773,3878,3967,4036,4121,4218,4301,4390,4483,4620,4742,4831,4954,5052,5135,5229,5316,5428,5558,5739,5840,5934,6031,6106,6198,6269,6336,6390,6480,6573,6657,6755,7236,7408,7498,7585,7666,7781,7884,7997,8099
"kelseyhightower/kubernetes-the-hard-way","Bootstrap Kubernetes the hard way on Google Cloud Platform. No scripts.",false,1671.3,0.2,24667,891,7470,326,307,0,"",52,1,781,3.25,6.75,5.29,13,13,13.08,13.56,13.68,14.34,15.58,,14.76,3120,3251,3455,3612,3790,3939,4149,5215,5649,6069,6459,6933,7401,8028,8464,8805,9400,9852,10293,10749,11285,11839,12384,12791,13266,13788,14623,15113,15547,16026,16406,16814,17389,17982,18435,18908,19406,19864,20303,20739,21246,21641,22142,22572,23030,23402,23814,24240,24640
"angristan/openvpn-install","Set up your own OpenVPN server on Debian, Ubuntu, Fedora, CentOS or Arch Linux.",false,1535.4,1.6,5811,224,1496,559,225,0,"openvpn, vpn, encryption, bash, debian, ubuntu, fedora, centos, arch-linux, openvpn-server, aws, censorship",54,1,296,1.23,10.86,5.26,4.71,3.93,4.34,4.56,4.35,4.63,4.67,,3.79,115,163,210,251,304,373,440,482,532,696,775,840,937,1021,1129,1323,1443,1550,1654,1778,1890,2016,2134,2278,2399,2551,2708,2821,2931,3057,3313,3436,3590,3724,3858,3997,4113,4245,4402,4574,4729,4862,5011,5132,5250,5389,5548,5673,5805
"moby/moby","Moby Project - a collaborative project for the container ecosystem to assemble container-based systems",false,2937.1,0.1,59535,3115,17172,20704,21174,92,"docker, containers, go",2056,56,1374,5.71,4.92,5.17,9.14,10.43,10.55,10.92,12.26,11.41,12.5,18.5,20.28,36123,37068,38102,40080,40767,41317,41837,42327,42834,43391,43914,44402,44964,45393,45939,46415,46838,47247,47671,48109,48589,49021,49514,49940,50397,50797,51253,51720,52216,52659,53137,53574,53920,54303,54691,55050,55357,55658,55951,56278,56637,56939,57282,57597,58224,58524,58877,59198,59521
"statping/statping","Status Page for monitoring your websites and applications with beautiful graphs, analytics, and plugins. Run on any type of environment.",false,968.8,11.2,4291,63,346,730,220,204,"statuspage, status-page, website-monitor, uptime, monitoring, prometheus, application-monitoring, server-monitor, docker, golang-plugin, prometheus-exporter, notifier, statping",29,3,236,0.98,11.73,5.13,6.14,8.36,6.25,4.62,4.61,6.3,4.88,,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,437,503,550,591,635,670,716,748,834,892,955,1006,1099,1137,1248,1316,1583,1727,1982,2401,2625,2848,2972,3288,3440,3575,3719,3858,3978,4091,4281
"Radarr/Radarr","A fork of Sonarr to work with movies à la Couchpotato.",false,1500.4,0.1,4901,216,631,4674,1173,54,"movies, couchpotato, nzb, torrent, movie, usenet, bittorrent",225,10,258,1.07,11.22,5.13,3.14,3.57,3.62,3.8,3.18,3.46,3.24,,3.27,359,574,749,873,988,1067,1143,1221,1286,1387,1448,1526,1606,1691,1774,1852,1924,2000,2057,2128,2196,2269,2353,2437,2528,2631,2748,2839,2947,3020,3089,3171,3237,3318,3405,3502,3627,3739,3864,4028,4140,4225,4311,4367,4464,4545,4683,4782,4892
"StreisandEffect/streisand","Streisand sets up a new server running your choice of WireGuard, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, or a Tor bridge. It also generates custom instructions for all of these services. At the end of the run you are given an HTML file with instructions that can be shared with friends, family members, and fellow activists.",false,2508,10.9,22082,639,1923,1135,643,0,"vpn, ansible, openvpn, wireguard, openconnect, anyconnect, shadowsocks, stunnel, tor, ssh, streisand, censorship",142,11,689,2.86,6.65,5.02,5,4.29,4.04,4.09,4.83,5.11,7.94,10.6,9.05,6530,6740,8321,8860,9202,9423,9921,10344,10672,11216,11627,11929,12238,12519,12949,13919,14311,14530,14726,15040,15233,15464,15695,15902,16280,16647,17012,17249,17509,17761,17990,18221,18393,19503,19747,20017,20209,20404,20591,20785,20927,21055,21192,21452,21551,21701,21833,21951,22074
"syncthing/syncthing","Open Source Continuous File Synchronization",false,2625.5,0.1,34840,968,2915,4360,2945,239,"synchronization, go, peer-to-peer, p2p",245,31,928,3.86,5.68,4.99,14.14,15.43,15.81,17.19,14.19,15.1,15.83,13.45,13.27,13941,14258,14655,14974,15305,15603,15914,16348,16724,17096,17576,17973,18366,18704,19083,19487,19925,20297,20637,20993,21448,21845,22187,22670,23248,23726,24253,24997,25491,25989,26506,26949,27356,27877,28359,28862,29297,29714,30146,30610,31063,31801,32219,32568,32936,33239,33811,34326,34808
"sivel/speedtest-cli","Command line interface for testing internet bandwidth using speedtest.net",false,3067.1,13.9,10455,306,1496,0,176,21,"python, python-library, python-script, speedtest",9,1,414,1.72,8.44,4.97,3.14,3.57,3.62,3.74,3.48,3.96,4.21,4.15,3.41,4356,4465,4609,4735,4846,4987,5116,5242,5356,5501,5617,5726,5868,5972,6098,6214,6351,6471,6578,6695,6856,6989,7119,7247,7370,7488,7652,7789,7933,8067,8214,8344,8482,8606,8754,8866,8997,9148,9294,9464,9594,9698,9806,9908,10002,10101,10224,10332,10443
"mailcow/mailcow-dockerized","mailcow: dockerized - 🐮 + 🐋 = 💕",false,1516.1,2.5,3654,185,628,3024,926,0,"mailcow, mailserver, groupware, sogo, rspamd, postfix, dovecot, docker, servercow",176,13,205,0.85,11.96,4.96,2,2.93,4.01,3.58,3.35,3.3,2.94,,2.41,51,73,126,159,189,234,280,333,380,445,481,541,611,676,746,865,911,981,1041,1097,1149,1228,1322,1399,1505,1622,1739,1810,1881,1947,2019,2110,2165,2235,2306,2369,2443,2524,2618,2703,2800,2928,3035,3116,3221,3320,3415,3526,3648
"wagoodman/dive","A tool for exploring each layer in a docker image",false,996.2,1.6,24449,329,910,207,125,23,"docker, docker-image, inspector, explorer, cli, tui",40,4,726,3.02,6.33,4.95,31.57,23,19.07,15.5,19.77,16.72,15.29,,29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420,10264,12633,13254,13901,14286,14669,14969,15517,15883,16201,16555,16948,17359,17864,18315,18874,19208,19618,20063,20507,20812,21273,22489,23006,23471,23839,24421
"rclone/rclone","""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files",false,2515.2,0.2,25739,540,2228,3716,1228,74,"golang, go, cloud-storage, s3, openstack-swift, google-drive, azure-blob, amazon-drive, backblaze-b2, sftp, ftp, rclone, hubic, dropbox, google-cloud-storage, onedrive, sync, fuse-filesystem, encryption, webdav",398,17,749,3.11,6.2,4.93,14.43,16.36,16.7,19.04,17.49,20.48,18.31,13.67,10.4,4811,5098,5397,5681,5969,6154,6364,6560,6756,7007,7271,7544,7866,8159,8469,8780,9057,9351,9683,10242,10584,10975,11423,11907,12340,12736,13116,13493,13949,14364,14907,15346,15925,16372,16750,17804,18230,18736,19214,20940,21552,22022,22516,22917,23464,23970,24451,25200,25708
"major/MySQLTuner-perl","MySQLTuner is a script written in Perl that will assist you with your MySQL configuration and make recommendations for increased performance and stability.",false,4267.3,1.2,6587,341,1045,338,202,7,"",93,3,301,1.25,9.74,4.92,2.86,3.07,3.02,2.56,2.43,2.48,2.43,2.32,1.54,3080,3170,3244,3307,3368,3449,3512,3575,3653,3769,3847,3898,3979,4051,4111,4178,4243,4313,4372,4438,4509,4576,4652,4740,4813,4904,5050,5128,5197,5264,5321,5395,5446,5505,5574,5622,5679,5755,5852,5935,6035,6087,6142,6218,6286,6350,6439,6493,6585
"kubernetes-sigs/kubespray","Deploy a Production Ready Kubernetes Cluster",false,1949.1,0.1,10052,327,4289,2515,4725,47,"kubernetes-cluster, ansible, kubernetes, high-availability, bare-metal, gce, aws, kubespray, k8s-sig-cluster-lifecycle",886,559,398,1.65,8.44,4.9,5,4.79,4.73,5.16,5.44,6.03,6.78,5.49,5.16,467,539,613,686,753,832,978,1090,1181,1343,1551,1717,1923,2135,2410,2646,2870,3115,3352,3607,3911,4200,4517,4785,5089,5377,5634,5862,6138,6400,6656,6894,7110,7306,7484,7680,7840,8028,8221,8444,8664,8855,9049,9216,9408,9570,9721,9896,10041
"jellyfin/jellyfin","The Free Software Media System",false,786.6,0.3,9470,226,968,2617,2292,35,"jellyfin, csharp, dotnet",558,43,380,1.58,8.55,4.87,19.57,20,18.94,12.64,12.39,11.58,11.06,,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,1371,1713,2045,2299,2529,2849,3096,3478,3727,4022,4322,4768,5220,5502,5859,6286,6601,6868,7184,7500,8005,8293,8563,8869,9446
"iovisor/bcc","BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more",false,2104.1,0.5,11052,526,2066,1207,2049,9,"",352,12,420,1.75,8.1,4.86,6.43,5.93,5.95,7.52,7.19,6.98,7.01,5.9,5.34,2241,2360,2528,2667,2879,3039,3129,3281,3435,3565,3693,3823,3950,4149,4290,4477,4637,4768,4910,5046,5185,5371,5527,5672,5924,6132,6316,6502,6679,6874,7112,7276,7451,7806,8007,8329,8492,8659,8864,9100,9313,9546,9729,9958,10171,10355,10604,10860,11042
"borgbackup/borg","Deduplicating archiver with compression and authenticated encryption.",false,2092.9,2,6936,155,530,2979,2680,68,"python, python-3, compression, dedupe, ssh, deduplication, backup, borgbackup, encryption, cython, c",214,5,308,1.28,9.47,4.86,2.86,3.93,3.81,3.32,3.1,3.3,3.52,3.4,3.31,1786,1936,2026,2128,2217,2359,2462,2569,2650,2822,2937,3039,3151,3244,3343,3436,3516,3609,3697,3790,3891,3994,4093,4178,4353,4477,4623,4735,4828,4923,5016,5141,5218,5353,5515,5619,5721,5819,5928,6049,6166,6267,6361,6432,6538,6623,6724,6810,6927
"nextcloud/server","☁️ Nextcloud server, a safe home for all your data",false,1706.6,0,12974,519,2397,11831,13249,29,"open-source, file-sharing, enterprise, sharing, collaboration, cloud, nextcloud, self-hosting, decentralized, federation, free-software, federated, distributed, owncloud, javascript, ux, design, usability, opensource, hacktoberfest",838,577,467,1.94,7.67,4.85,11.86,11,11.05,10.26,9.65,9.85,9.23,,7.6,1194,1341,1506,1655,1826,2068,2234,2403,2567,2774,2989,3210,3416,3623,3794,4010,4203,4374,4590,4882,5098,5316,5583,5898,6219,6455,6746,7038,7356,7584,7831,8079,8275,8514,8763,9051,9366,9670,9979,10335,10663,10944,11198,11477,11720,12024,12317,12624,12961
"jlevy/the-art-of-command-line","Master the command line, in one page",false,2085.3,9.3,83408,2570,9467,176,519,0,"bash, unix, documentation, linux, macos, windows",162,1,1609,6.69,4.11,4.84,24.57,23.36,22.16,29.37,24.67,45.43,62.84,32.81,40.02,28022,28432,28776,29091,29372,29757,30012,30241,30521,30884,31345,31725,32218,32588,33060,33610,33972,34379,34846,35217,35554,35938,36287,36802,37493,38061,38628,39189,49944,58308,61497,62655,63942,64730,65318,65849,66784,68349,69931,73816,76298,77165,78862,79508,80128,80684,81317,82691,83366
"ohmyzsh/ohmyzsh","🙃  A delightful community-driven (with 1700+ contributors) framework for managing your zsh configuration. Includes nearly 300 optional plugins (rails, git, OSX, hub, capistrano, brew, ant, php, python, etc), over 140 themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",false,4176.1,0.4,123164,2672,21479,3697,5896,0,"shell, zsh-configuration, theme, terminal, productivity, hacktoberfest",1802,3,2078,8.64,3.6,4.82,52,53.43,52.41,56.82,54.05,60.35,58.5,50.71,29.48,45624,47066,48723,50157,51409,52678,54136,55525,56814,58215,59676,60933,62386,63705,65243,66918,68474,69911,71439,73005,74457,75939,77446,78831,80340,81699,83524,85173,86853,89082,90744,92324,93763,95929,97805,99444,101021,102702,104665,107590,109850,111555,113182,114727,116294,117862,119639,121453,123048
"home-assistant/core",":house_with_garden: Open source home automation that puts local control and privacy first",false,2695.6,0,40086,1325,13145,18702,26932,710,"python, home-automation, iot, internet-of-things, mqtt, raspberry-pi, asyncio, hacktoberfest",2358,83,983,4.09,5.23,4.82,60.57,53.36,36.69,37.48,31.64,25.87,27.17,20.6,15.5,5313,5665,5993,6311,6566,6869,7263,7554,7909,9401,10046,10594,11621,12252,12845,13355,13875,14345,14784,15689,16397,17327,18153,19371,20207,20956,21724,22505,23232,23850,24848,25396,26096,27213,28602,29754,30602,31285,31873,32408,33063,33631,34270,34899,35662,36624,37501,38927,40044
"jc21/nginx-proxy-manager","Docker container for managing Nginx proxy hosts with a simple, powerful interface",false,1139.9,1.8,2843,80,399,726,129,36,"nginx, nginx-proxy",29,1,166,0.69,12.45,4.75,7,6.93,6.05,5.56,5.33,4.6,3.73,,2.49,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,6,8,13,15,30,35,41,70,110,169,228,308,371,434,559,648,753,821,891,1041,1151,1257,1342,1474,1616,1756,1860,1975,2166,2325,2504,2648,2832
