"fullName","description","createdAgo","pushedAgo","isFork","repoStars","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"priyankavergadia/GCPSketchnote","If you are looking to become a Google Cloud Engineer , then you are at the right place. GCPSketchnote is series where I share Google Cloud concepts in quick and easy to learn format.",26.7,25.7,,1335,42,6.89,6.92,6.91,,12.57,,,,,,,65.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514
"facebookresearch/deit","Official DeiT repository",33.1,9.4,,1201,39,6.39,7.14,6.88,,8.64,27.78,,,,,,37.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,1478
"lucidrains/pixel-level-contrastive-learning","Implementation of Pixel-level Contrastive Learning, proposed in the paper ""Propagate Yourself"", in Pytorch",66.2,18.9,,81,6,0.98,16.28,6.39,,0.57,0.82,,,,,,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,56,102
"lucidrains/vit-pytorch","Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch",113.9,13.3,,2246,54,8.85,5.29,6.28,,8.5,27.65,15.77,,,,,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,1026,1385,2328
"open-mmlab/mmtracking","OpenMMLab Video Perception Toolbox. It supports Single Object Tracking (SOT), Multiple Object Tracking (MOT), Video Object Detection (VID) with a unified framework.",149.6,10.5,,1124,34,5.57,6.65,6.27,,6.07,,,,,,,54.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153
"naver-ai/relabel_imagenet","",12.6,11.6,,65,5,0.82,16.91,6.17,,,,,,,,,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
"HobbitLong/PyContrast","PyTorch implementation of Contrastive Learning methods; List of awesome-contrastive-learning papers",249.9,31.2,,973,30,4.92,6.78,6.09,,0.5,1.25,2.36,2.34,,,,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,458,545,626,695,758,839,935,981
"lucidrains/byol-pytorch","Usable Implementation of ""Bootstrap Your Own Latent"" self-supervised learning, from Deepmind, in Pytorch",223.1,13.7,,654,23,3.77,7.73,6.09,,0.86,2.1,2.97,2.53,,,,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,193,236,273,383,454,590,681
"devsuperior/sds2","",27.3,11.3,,617,22,3.61,7.84,6.05,,1.64,,,,,,,23.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636
"boomyjee/bergamot","TeaCSS/CommonJS capable simple and blazing fast bundler without AST transforms",294.9,27.6,,50,4,0.66,17.59,5.88,,,,0.53,0.26,,,,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3908,9265,14621
"hila-chefer/Transformer-Explainability","Official Pytorch implementation for Transformer Interpretability Beyond Attention Visualization, a novel method to visualize classifications by Transformer based networks.",63,20.5,,116,7,1.15,13.27,5.87,,1,1.45,,,,,,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,128
"gupta-abhay/ViT","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale",114,23,,151,8,1.31,11.65,5.62,,0.43,0.56,0.95,,,,,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,101,134,161
"CompVis/net2net","Network-to-Network Translation with Conditional Invertible Neural Networks",96.3,37.4,,99,6,0.98,13.32,5.59,,,0.33,1.06,,,,,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,88,111
"TengdaHan/CoCLR","[NeurIPS'20] Self-supervised Co-Training for Video Representation Learning. Tengda Han, Weidi Xie, Andrew Zisserman.",114.4,12.3,,153,8,1.31,11.49,5.58,,0.14,0.3,0.8,,,,,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,125,143,156
"gingsi/coot-videotext","COOT: Cooperative Hierarchical Transformer for Video-Text Representation Learning",103.5,12.5,,100,6,0.98,13.19,5.55,,0.5,0.66,,,,,,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,80,107
"yinboc/liif","Learning Continuous Image Representation with Local Implicit Image Function",40.2,30.7,,362,14,2.3,8.5,5.49,,1.07,2.1,,,,,,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,374
"modestyachts/imagenet-testbed","ImageNet Testbed, associated with the paper ""Measuring Robustness to Natural Distribution Shifts in Image Classification.""",201.9,31.8,,36,3,0.49,18.32,5.49,,0.07,0.07,0.28,0.18,,,,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,10,21,34,38
"EleutherAI/gpt-neo","An implementation of model parallel GPT2& GPT3-like models, with the ability to scale up to full GPT3 sizes (and possibly more!), using the mesh-tensorflow library.",204.5,9.9,,225,10,1.64,9.77,5.39,,3.36,5.06,2.6,1.33,,,,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,8,51,91,333
"facebookresearch/DepthContrast","DepthContrast self-supervised learning for 3D",53.1,17.8,,58,4,0.66,15.16,5.32,,1.36,,,,,,,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"facebookresearch/swav","PyTorch implementation of SwAV https//arxiv.org/abs/2006.09882",193,21.4,,806,23,3.77,6.27,5.29,,1.57,1.51,2.09,2.68,,,,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,470,555,614,666,759,822
"MCG-NJU/TDN","TDN: Temporal Difference Networks for Efficient Action Recognition ",39.3,12.3,,39,3,0.49,16.91,5.2,0.14,0.36,0.56,,,,,,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43
"facebookresearch/GENRE","Autoregressive Entity Retrieval",112.1,12.4,,62,4,0.66,14.18,5.09,,5.36,,,,,,,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
"fudan-zvg/SETR","Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers",26.5,24.8,,177,8,1.31,9.94,5.06,,1.5,,,,,,,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
"openai/image-gpt","",263,28.9,,1240,29,4.75,5.14,5.01,,1.93,2.6,2.13,3.52,,,,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,598,834,978,1045,1094,1160,1257
"RameenAbdal/StyleFlow","StyleFlow: Attribute-conditioned Exploration of StyleGAN-generated Images using  Conditional Continuous Normalizing Flows",243.8,14.2,,1128,27,4.43,5.26,4.97,,23.71,32.05,11.15,,,,,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,80,110,133,153,1273
"cdancette/rubi.bootstrap.pytorch","RUBi : Reducing Unimodal Biases for Visual Question Answering",609.5,21.2,,44,3,0.49,14.99,4.8,,,,0.02,0.03,0.03,,,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,19,25,27,28,31,33,34,34,36,38,39,39,41,41,43,45,46
"lucidrains/performer-pytorch","An implementation of Performer, a linear attention-based transformer, in Pytorch",114.7,8.8,,456,14,2.3,6.75,4.71,,0.93,1.32,4.5,,,,,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,324,416,477
"google-research/simclr","SimCLRv2 - Big Self-Supervised Models are Strong Semi-Supervised Learners",321.2,37.9,,1827,35,5.74,4.21,4.67,,1.71,2.24,3.41,4.13,,,,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,586,708,892,1069,1268,1404,1512,1644,1755,1855
"taldatech/soft-intro-vae-pytorch","Official PyTorch implementation of Soft-IntroVAE from the paper ""Soft-IntroVAE: Analyzing and Improving Introspective Variational Autoencoders""",41.5,9.3,,46,3,0.49,14.34,4.66,0.29,0.57,1.25,,,,,,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,49
"lucidrains/electra-pytorch","A simple and working implementation of Electra, the fastest way to pretrain language models from scratch, in Pytorch",174,36.1,,46,3,0.49,14.34,4.66,0.29,0.21,0.16,0.15,,,,,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,35,43,50
"lucidrains/x-transformers","A simple but complete full-attention transformer with a set of promising experimental features from various papers",93,10.6,,132,6,0.98,9.99,4.61,,1.07,2.1,1.25,,,,,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,70,149
"microsoft/Oscar","Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks",256.1,12,,285,10,1.64,7.71,4.6,,1.36,0.99,0.94,1.02,,,,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,87,108,144,177,209,237,264,341
"DirtyHarryLYL/HAKE-Action-Torch","HAKE-Action in PyTorch",171.5,11.2,,47,3,0.49,14.03,4.59,,,0.07,0.47,,,,,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,32,45,50
"kdexd/virtex","Code for the paper ""VirTex: Learning Visual Representations from Textual Annotations""",497.1,39.3,,288,10,1.64,7.63,4.57,,0.29,0.23,0.3,0.4,,,,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,214,230,246,261,268,280,291
"princeton-nlp/LM-BFF","",25.4,12.3,,102,5,0.82,10.78,4.57,,2.29,,,,,,,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
"zhegan27/VILLA","Research Code for NeurIPS 2020 Spotlight paper ""Large-Scale Adversarial Training for Vision-and-Language Representation Learning"": UNITER adversarial training part",97.6,12.6,,48,3,0.49,13.74,4.53,0.14,0.21,0.2,0.49,,,,,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,43,51
"ronikobrosly/causal-curve","A python package with tools to perform causal inference using observational data when the treatment of interest is continuous.",285.1,7.9,,136,6,0.98,9.7,4.52,,0.5,0.69,1.3,0.69,,,,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,10,12,16,18,114,143
"open-mmlab/mmaction2","OpenMMLab's Next Generation Action Understanding Toolbox and Benchmark",198.6,8.5,,489,14,2.3,6.29,4.5,,1.43,1.78,2.02,1.8,,,,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,219,259,305,369,434,511
"justinpinkney/awesome-pretrained-stylegan2","A collection of pre-trained StyleGAN 2 models to download ",272,10,,340,11,1.8,7.11,4.5,,0.64,0.95,1.14,1.45,,,,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,56,75,132,195,236,274,310,353
"KaihuaTang/Long-Tailed-Recognition.pytorch","[NeurIPS 2020] This project provides a strong single-stage baseline for Long-Tailed Classification, Detection, and Instance Segmentation (LVIS).  It is also a PyTorch implementation of the NeurIPS 202...",123.6,35.5,,299,10,1.64,7.35,4.46,,0.43,0.76,1.22,,,,,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,189,223,276,310
"lowlighter/metrics","📊 An image generator with 20+ metrics about your GitHub account such as activity, community, repositories, coding habits, website performances, music played, starred topics, etc. that you can put on ...",139.2,10.1,,1973,35,5.74,3.9,4.44,,42,61.25,21.37,,,,,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,39,110,2129
"WebKit/WebKit","Official git mirror of the WebKit repository, https://svn.webkit.org/repository/webkit, future canonical repository.",45.2,8,,263,9,1.48,7.52,4.37,,3,6.21,,,,,,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,291
"mdbench/The-Freedom-Wrapper-Project","This is the Original Freedom Wrapper Project repository. It is developed and maintained by Matthew Benchimol. The Freedom Wrapper Project is an Open Source and Free Android source code project. The pr...",120.1,22.7,,78,4,0.66,11.27,4.37,,,0.23,0.82,,,,,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,71,147
"dbolya/tide","A General Toolbox for Identifying Object Detection Errors",193.1,12.6,,264,9,1.48,7.49,4.36,,0.29,0.76,0.85,,,,,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,131,186,214,241,271
"vsitzmann/awesome-implicit-representations","A curated list of resources on implicit neural representations.",28.1,25.2,,468,13,2.13,6.11,4.3,,1.5,,,,,,,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
"yenchenlin/awesome-NeRF","A curated list of awesome neural radiance fields papers",60.2,11.1,,529,14,2.3,5.82,4.27,,1.57,2.96,,,,,,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,552
"olavoparno/istanbul-badges-readme","Creates and updates README testing coverage badges",175.1,34,,53,3,0.49,12.44,4.24,,,0.1,0.48,,,,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,11,49,56
"open-mmlab/OpenSelfSup","Self-Supervised Learning Toolbox and Benchmark",227.7,31.5,,1138,23,3.77,4.44,4.21,,1.29,1.45,1.79,1.89,,,,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,793,859,932,974,1033,1094,1150
"wzhe06/SparrowRecSys","A Deep Learning Recommender System",265.7,15.5,,553,14,2.3,5.57,4.14,,2.86,9.04,4.8,,,,,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,114,208,278,629
"jason718/awesome-self-supervised-learning","A curated list of awesome self-supervised methods",1080.8,20.1,,3297,45,7.38,3,4.05,,1.29,2.99,4.14,4.71,5.22,4.03,,3.05,0,31,69,81,90,101,144,160,190,254,279,319,353,377,426,495,564,658,755,825,951,1051,1200,1321,1391,1529,1745,1934,2088,2266,2436,2607,2754,2916,3080,3203,3325
"DirtyHarryLYL/HAKE","HAKE: Human Activity Knowledge Engine (CVPR'18/19/20, NeurIPS'20)",589.5,11.1,,122,5,0.82,9.01,4.05,,0.14,0.16,0.19,0.19,0.2,,,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,34,37,40,42,44,48,51,62,75,76,79,87,94,98,105,112,117,124
"zymk9/Yet-Another-Anime-Segmenter","Instance segmentation for anime characters based on CondInst and SOLOv2",108.4,31.8,,58,3,0.49,11.37,3.99,0.14,0.29,0.36,,,,,,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,62
"asheeshcric/awesome-contrastive-self-supervised-learning","A comprehensive list of awesome contrastive self-supervised learning papers.",229.1,31.2,,208,7,1.15,7.4,3.98,,,1.05,2.25,1.13,,,,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,130,176,220
"forence/Awesome-Visual-Captioning","This repository focus on Image Captioning & Video Captioning & Seq-to-Seq Learning & NLP",742.5,20.6,,166,6,0.98,7.95,3.96,,,0.2,0.26,0.3,0.35,0.22,,0.22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,8,10,13,14,15,19,29,38,48,49,51,57,97,111,121,133,141,147,160,173
"facebookresearch/KILT","Library for Knowledge Intensive Language Tasks",230.1,18.3,,413,11,1.8,5.86,3.95,,0.21,0.46,0.54,2.25,,,,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,281,364,376,398,423
"yikaiw/CEN","[NeurIPS 2020] Code release for paper ""Deep Multimodal Fusion by Channel Exchanging""",118.6,24.7,,92,4,0.66,9.56,3.91,,,0.26,0.96,,,,,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,83,97
"Fang-Haoshu/Halpe-FullBody","Halpe: full body human pose estimation and human-object interaction detection dataset",163.3,34.3,,92,4,0.66,9.56,3.91,,,0.13,0.18,,,,,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,70,76,80,87,95
"qonversion/react-native-sdk","React Native SDK for iOS and Android Subscriptions",259.3,12.5,,60,3,0.49,10.99,3.9,2.29,1.14,0.59,0.8,,,,,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,57,76
"p-lambda/wilds","A machine learning benchmark of in-the-wild distribution shifts, with data loaders, evaluators, and default models.",46.1,10.3,,130,5,0.82,8.46,3.88,,0.79,1.12,,,,,,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,146
"LasCC/Hack-Tools","The all-in-one Red Team extension for Web Pentester 🛠",217,12.5,,1839,29,4.75,3.47,3.85,,6.79,31.43,11.57,9.9,,,,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,72,667,782,829,883,1894
"bifrost-finance/bifrost","A parachain focused on building bridges of chains which based on PoS consensus.",546.5,11.8,,62,3,0.49,10.64,3.82,,,0.03,0.39,0.21,0.15,,,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,9,9,9,10,13,14,17,22,23,25,26,27,30,61,64
"lucidrains/lightweight-gan","Implementation of 'lightweight' GAN, proposed in ICLR 2021, in Pytorch. High resolution image generations that can be trained within a day or two",75.2,8.9,,381,10,1.64,5.77,3.79,,1.43,2.27,,,,,,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,311,403
"pbaylies/stylegan2","StyleGAN2 - Official TensorFlow Implementation with practical improvements",366.2,35,1,223,7,1.15,6.9,3.79,,0.07,0.23,0.19,0.23,0.6,,,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,116,136,152,157,166,181,191,199,206,211,216,225
"tim-hub/TrackersAway","Open source Ads/Trackers Blocker and Hosts file Manager.",559.1,15.8,,63,3,0.49,10.47,3.78,,,,0.04,0.03,0.16,,,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,52,55,56,56,56,57,57,58,59,59,63,64
"dvschultz/stylegan2-ada","StyleGAN2 with adaptive discriminator augmentation (ADA) - Official TensorFlow implementation",107.9,18.4,1,64,3,0.49,10.3,3.74,,0.14,0.49,0.56,,,,,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,50,70
"rohitgirdhar/CATER","CATER: A diagnostic dataset for Compositional Actions and TEmporal Reasoning",473,38.7,,64,3,0.49,10.3,3.74,,,,0.08,0.07,0.09,,,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,20,32,34,37,39,45,48,50,52,53,57,58,64,68
"PyTorchLightning/pytorch-lightning-bolts","Toolbox of models, callbacks, and datasets for AI/ML researchers.",306.2,7.9,,716,15,2.46,4.61,3.74,,1.36,1.81,2.39,3.32,,,,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,47,71,111,152,418,498,568,660,737
"jayleicn/TVRetrieval","[ECCV 2020] PyTorch code for XML on TVRetrieval dataset - TVR: A Large-Scale Dataset for Video-Subtitle Moment Retrieval",364.8,41.2,,64,3,0.49,10.3,3.74,,,,0.07,0.13,,,,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,33,34,37,40,47,52,57,60,63,65
"lijiaman/awesome-transformer-for-vision","",23.7,18.1,,186,6,0.98,7.09,3.67,,0.79,,,,,,,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"BachiLi/diffvg","Differentiable Vector Graphics Rasterization",143.8,33.1,,235,7,1.15,6.55,3.66,,5.14,3.19,2.29,,,,,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,75,137,252
"EleutherAI/the-pile","",151.9,25.9,,301,8,1.31,5.84,3.55,,0.86,2.89,2.74,,,,,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,53,205,216,313
