"fullName","description","createdAgo","pushedAgo","isFork","repoStars","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"fossasia/visdom","A flexible tool for creating, organizing, and sharing visualizations of live, rich data. Supports Torch and Numpy.",1461.1,16.9,,7938,893,3.23,18.5,10.34,,2.07,3.32,3.08,2.89,3.01,3.67,,5.58,3327,3469,3627,3797,4001,4139,4295,4403,4551,4721,4895,5114,5261,5402,5568,5740,5895,6017,6149,6268,6377,6482,6588,6716,6841,6940,7051,7156,7253,7338,7413,7487,7583,7659,7752,7840,7973
"chenyuntc/pytorch-book","PyTorch tutorials and fun projects including neural talk, neural style, poem writing, anime generation (《深度学习框架PyTorch：入门与实战》)",1342.6,34.6,,8431,920,3.33,17.95,10.23,,1.14,2.63,4.46,4.68,5.41,7.1,,7.5,333,500,710,930,1253,1449,1655,1855,2084,2379,2615,2972,3242,3429,3783,4138,4428,4693,5007,5297,5505,5698,5946,6228,6454,6635,6839,7053,7220,7380,7571,7738,7881,8019,8203,8346,8453
"openai/gym","A toolkit for developing and comparing reinforcement learning algorithms.",1734.3,11.2,,23201,1802,6.51,12.78,10.21,,5.64,8.35,9.32,9.96,11.13,11.79,,13.39,9184,9893,10505,10998,11458,11904,12311,12720,13099,13454,13862,14244,14599,15020,15487,15954,16348,16727,17100,17459,17776,18157,18536,18870,19143,19437,19732,20116,20524,20918,21389,21787,22065,22357,22667,22952,23285
"apache/incubator-mxnet","Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",2097.2,7.8,,19222,1571,5.68,13.44,10.09,,0.79,1.55,2.49,2.67,3.29,4.93,9.35,9.41,12053,12342,12705,13042,13278,13543,13890,14364,14594,14816,15007,15285,15618,15824,16046,16263,16543,16756,16976,17163,17372,17568,17727,17881,18020,18141,18245,18392,18518,18645,18732,18816,18910,18993,19086,19174,19237
"rusty1s/pytorch_geometric","Geometric Deep Learning Extension Library for PyTorch",1207.2,8.1,,9975,1014,3.66,16.72,10.08,,4.86,6.64,8.56,9.47,10.21,12.2,,8.41,27,36,38,55,65,392,458,490,513,653,726,875,1056,1237,2747,3256,3611,3974,4400,4695,4991,5313,5633,5987,6236,6508,6823,7172,7554,7929,8234,8561,8883,9180,9444,9760,10164
"pytorch/text","Data loaders and abstractions for text and NLP",1505.8,10,,2618,414,1.5,26.01,10.04,,0.36,0.76,1.22,1.4,1.48,1.7,,1.78,536,599,671,766,831,891,952,1012,1058,1168,1243,1315,1374,1430,1487,1552,1628,1692,1742,1807,1867,1921,1977,2033,2079,2120,2167,2220,2266,2311,2363,2419,2461,2507,2553,2594,2627
"lukemelas/EfficientNet-PyTorch","A PyTorch implementation of EfficientNet",606.7,28.2,,5342,657,2.37,20.23,9.91,,2.43,3.42,4.49,4.76,5.92,,,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,1834,2071,2254,2449,2693,3010,3173,3340,3547,3813,4035,4273,4466,4626,4789,4925,5071,5231,5371
"onnx/onnx","Open standard for machine learning interoperability",1236.7,7.9,,9639,970,3.51,16.55,9.87,,2,3.29,5.08,5.15,5.48,6.12,,7.79,2293,2468,2777,3025,3324,3536,3714,3902,4139,4417,4669,4958,5168,5355,5543,5785,5999,6154,6326,6519,6885,7092,7306,7477,7631,7793,7954,8107,8330,8517,8692,8834,8985,9168,9343,9532,9677
"utkuozbulak/pytorch-cnn-visualizations","Pytorch implementation of convolutional neural network visualization techniques",1192.6,12.3,,5085,632,2.28,20.44,9.85,,2.29,2.73,4.18,4.46,4.71,5,,4.28,129,194,309,401,489,560,645,716,813,930,1143,1274,1433,1546,1729,1957,2091,2229,2430,2601,2736,2864,3040,3229,3364,3471,3654,3827,3976,4134,4270,4416,4574,4702,4856,5001,5119
"pytorch/fairseq","Facebook AI Research Sequence-to-Sequence Toolkit written in Python.",1245.2,10.1,,10983,1053,3.81,15.77,9.82,,4,7.07,12.65,14.18,11.99,11.35,,8.97,944,1021,1091,1157,1282,1552,1713,1821,2033,2205,2363,2515,2695,2907,3164,3445,3679,3868,4127,4987,5346,5728,6044,6332,6608,6835,7088,7397,7793,8098,8395,8634,8894,9829,10394,10767,11056
"matterport/Mask_RCNN","Mask R-CNN for object detection and instance segmentation on Keras and TensorFlow",1194,38,,19236,1527,5.52,13.06,9.8,,3.5,5.33,7.5,11.08,11.11,13.44,,16.18,3114,3529,4236,5015,5507,5963,6439,6837,7308,7845,8360,8925,9428,9967,10564,11202,11721,12230,12775,13222,13665,14085,14498,14887,15182,15456,15820,16208,16595,16917,17216,17471,18130,18553,18802,19076,19288
"amdegroot/ssd.pytorch","A PyTorch Implementation of Single Shot MultiBox Detector",1447.8,21.2,,4117,546,1.97,21.82,9.79,,1.07,1.51,2.1,2.04,2.7,3.41,,2.92,513,557,627,713,792,862,971,1060,1161,1270,1386,1506,1628,1696,1880,2047,2187,2306,2451,2569,2685,2803,2925,3046,3130,3215,3339,3454,3559,3655,3742,3810,3882,3922,3997,4069,4134
"eriklindernoren/PyTorch-YOLOv3","Minimal PyTorch implementation of YOLOv3",980.2,10.1,,5580,662,2.39,19.52,9.69,,1.36,3.19,4.44,4.42,5.87,6.33,,5.69,0,0,0,0,10,284,336,402,521,621,717,831,954,1064,1255,1427,1642,1849,2124,2351,2526,2724,2973,3250,3437,3598,3841,4088,4379,4602,4771,4913,5051,5173,5332,5480,5608
"rwightman/pytorch-image-models","PyTorch image models, scripts, pretrained weights -- (SE)ResNet/ResNeXT, DPN, EfficientNet, MixNet, MobileNet-V3/V2, MNASNet, Single-Path NAS, FBNet, and more",723.6,17,,6594,733,2.65,18.29,9.6,,10.71,18.08,16.47,13.15,12.23,,,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,733,921,1483,1606,1708,1818,1964,2134,2581,2776,3284,3595,3927,4198,4429,4698,5095,5596,6048,6670
"dmlc/xgboost","Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",2545.2,10.1,,20408,1550,5.6,12.49,9.56,,2.57,3.62,5.25,5.96,6.93,8.48,10.02,8.16,10029,10336,10749,11201,11588,11975,12348,12703,13027,13344,13641,13969,14216,14463,14800,15283,15649,15987,16335,16634,16919,17201,17459,17689,17874,18140,18380,18637,18886,19106,19315,19510,19729,19925,20120,20294,20470
"aymericdamien/TensorFlow-Examples","TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2)",1902.3,27.1,,39704,2377,8.59,9.85,9.41,,3.86,6.61,8.66,10.09,12.16,16.89,21.34,20.88,18399,18962,19728,20573,21223,21857,22487,23188,23854,24619,25405,26374,27360,28128,29013,29813,30544,31122,31827,32487,33289,33936,34470,34902,35254,35564,35970,36399,36779,37481,37851,38196,38585,38902,39218,39491,39775
"allenai/allennlp","An open-source NLP research library, built on PyTorch.",1351.2,9.8,,9573,919,3.32,15.79,9.39,,1.79,2.14,4.65,4.41,4.9,6.36,,7.33,1316,1485,1695,1876,2036,2305,2658,2885,3251,3659,4117,4544,4933,5216,5545,5847,6103,6333,6535,6781,7025,7213,7421,7621,7785,7931,8103,8280,8409,8598,8767,8894,9018,9149,9381,9508,9615
"google/jax","Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",823,8.7,,11084,1012,3.66,15.02,9.38,,3.93,8.71,12.49,10.93,13.3,11.25,,13.8,0,0,0,0,0,0,0,0,0,0,200,2389,2851,3380,3731,4019,4184,4337,4548,4740,4953,5239,5496,5851,6211,6794,7330,7819,8281,8648,9070,9402,9665,9926,10317,10800,11162
"lutzroeder/netron","Visualizer for neural network, deep learning, and machine learning models",3683.3,7.8,,12950,1105,3.99,14.04,9.23,,7.43,12.43,13.86,14.19,14.44,14.09,7.08,3.51,100,241,504,639,757,886,1070,1427,1626,1844,2114,2385,2650,2875,3321,3791,4237,4616,5214,5720,6113,6496,6927,7364,7666,7992,8387,8881,9341,9853,10348,10856,11287,11672,12102,12560,13010
"floodsung/Deep-Learning-Papers-Reading-Roadmap","Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!",1564.4,12.6,,29100,1880,6.79,10.63,9.16,,3,5.46,7.76,8.53,11.61,11.59,,18.61,14759,15140,15589,16044,16523,16906,17419,17963,18394,18963,19365,19775,20628,20957,21397,21762,22168,22545,22864,23150,23444,23719,23949,24408,24854,25099,25377,25612,25889,26133,27536,27944,28188,28385,28687,28927,29145
"albumentations-team/albumentations","Fast image augmentation library and easy to use wrapper around other libraries. Documentation:  https://albumentations.ai/docs/ Paper about library: https://www.mdpi.com/2078-2489/11/2/125",964.8,10.6,,7078,732,2.65,17.01,9.15,,3.93,6.21,8.59,7.93,7.88,7.6,,7.35,0,0,0,0,0,11,310,355,511,1042,1296,1430,1527,1638,1994,2166,2277,2398,2643,2844,3168,3532,3820,4017,4194,4410,4641,4846,5134,5405,5624,5833,6077,6287,6538,6883,7150
"jadore801120/attention-is-all-you-need-pytorch","A PyTorch implementation of the Transformer model in ""Attention is All You Need"".",1321.5,13.5,,4732,560,2.02,19.47,9.15,,2.29,3.06,3.67,3.47,3.38,3.96,,3.6,571,653,718,826,899,1015,1098,1180,1271,1397,1535,1666,1841,2000,2181,2339,2485,2659,2811,2918,3066,3161,3271,3413,3499,3577,3691,3794,3889,4008,4099,4194,4289,4397,4498,4638,4794
"horovod/horovod","Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",1265.1,10.2,,10700,951,3.44,14.62,9.02,,1.64,3.25,5.55,6.22,6.54,7.96,,8.46,1440,1565,1739,1873,2053,2757,3116,3369,3634,3890,4181,4604,4889,5232,5560,5903,6264,6524,6833,7071,7319,7556,7806,8069,8312,8511,8677,8895,9166,9377,9564,9751,9946,10193,10435,10601,10756
"opencv/opencv","Open Source Computer Vision Library",3112.5,8,,51678,2710,9.79,8.63,9,,12.57,19.92,25.92,28.12,29.85,29.52,24.27,16.6,20402,21157,21994,22843,23680,24435,25182,25882,26628,27454,28398,29273,30114,30816,31802,32956,33936,34820,35725,36525,37386,38282,39167,40003,40773,41405,42281,43238,44255,45148,46536,47403,48178,49302,50181,51060,51839
"pytorch/ignite","High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.",1159.2,8.7,,3211,421,1.52,21.57,8.91,,0.29,0.69,1.37,1.6,2.15,2.73,,2.77,204,229,295,318,354,442,531,605,711,824,948,1104,1220,1346,1439,1554,1698,1793,1880,1998,2082,2179,2263,2350,2425,2515,2592,2670,2765,2832,2918,2960,3027,3085,3137,3190,3219
"pjreddie/darknet","Convolutional Neural Networks",2481.6,11.5,,19780,1390,5.02,11.56,8.76,,4.29,6.77,8.84,8.97,10.84,11.96,10.75,8.24,5251,5605,6126,6986,7502,7927,8346,8752,9129,9593,10195,10601,11039,11378,11833,12396,12899,13283,13684,14075,14422,14773,15133,15530,15814,16153,16486,16933,17439,17791,18135,18450,18727,18964,19257,19566,19823
"OpenNMT/OpenNMT-py","Open Source Neural Machine Translation in PyTorch",1433.1,12.1,,4758,537,1.94,18.57,8.75,,0.71,1.74,2.71,2.62,2.85,3.27,,3.32,859,961,1060,1194,1304,1419,1582,1698,1815,1933,2077,2207,2372,2492,2640,2776,2892,3008,3111,3213,3326,3422,3538,3639,3715,3800,3918,4008,4106,4180,4280,4361,4426,4510,4611,4704,4774
"HarisIqbal88/PlotNeuralNet","Latex code for making neural networks diagrams",916.2,22.6,,11349,945,3.42,13.7,8.62,,26.57,52.8,22.41,14.33,11.2,15.11,,13.85,0,0,0,0,0,0,0,0,0,0,25,240,329,2981,4309,4978,5289,5633,5884,6103,6306,6512,6856,7099,7273,7434,7645,7924,8167,8512,8746,8898,9097,9316,9560,9756,11776
"microsoft/LightGBM","A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tas...",1634.6,8.3,,12062,968,3.5,13.2,8.48,,1.93,3.55,4.52,4.68,5.12,6.36,,7.71,4443,4607,4828,5090,5337,5628,5872,6075,6337,6713,6994,7251,7416,7602,7870,8148,8491,8737,8965,9178,9387,9583,9800,10019,10190,10353,10528,10701,10900,11057,11203,11342,11510,11646,11798,11950,12104
"pandas-dev/pandas","Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",3807.8,7.8,,28099,1686,6.09,9.87,8.4,,7.21,11.34,13.12,13.3,14.73,14.86,12.57,7.38,11976,12361,12900,13299,13752,14149,14582,15039,15442,15874,16382,16848,17239,17640,18086,18618,19091,19502,19961,20416,20881,21444,21911,22300,22707,23259,23686,24206,24764,25216,25655,26064,26488,26887,27299,27738,28186
"facebookresearch/detr","End-to-End Object Detection with Transformers",243.9,9.3,,5923,597,2.16,16.58,8.4,,5.14,7.96,10.01,8.66,,,,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,4327,4589,4763,4994,5299,5666,5986
"pyro-ppl/pyro","Deep universal probabilistic programming with Python and PyTorch",1319.7,8.2,,6683,642,2.32,15.8,8.34,,0.93,1.28,1.81,2.16,2.28,2.65,,5.09,2486,2746,2947,3149,3321,3505,3621,3834,4048,4283,4437,4618,4743,4880,4971,5071,5179,5263,5372,5435,5521,5581,5670,5746,5848,5922,5984,6044,6157,6232,6285,6349,6438,6515,6581,6640,6705
"openai/baselines","OpenAI Baselines: high-quality implementations of reinforcement learning algorithms",1342.8,23,,11031,889,3.21,13.26,8.27,,2.93,3.55,4.6,4.9,5.6,6.39,,8.22,2993,3207,3509,3748,3984,4225,4541,4898,5181,5539,5849,6135,6362,6608,6953,7246,7493,7674,7884,8056,8258,8434,8656,8818,8982,9158,9330,9508,9711,9917,10133,10336,10490,10607,10766,10920,11071
"apache/tvm","Open deep learning compiler stack for cpu, gpu and specialized accelerators",1566,8.5,,6183,599,2.16,15.94,8.19,,1.79,2.73,3.73,3.77,3.72,4.9,,4.55,935,1065,1195,1257,1378,1482,1642,1769,1958,2107,2257,2427,2598,2756,2962,3145,3366,3588,3778,3948,4123,4347,4535,4688,4822,4923,5024,5137,5265,5381,5489,5607,5717,5838,5938,6094,6206
"tensorflow/tensor2tensor","Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.",1320.2,41.8,,10803,869,3.14,13.23,8.19,,1.57,3.39,3.72,3.6,4.07,6.13,,8.19,3090,3246,3422,3645,3880,4091,4333,4593,4866,5187,5569,5971,6331,6629,7018,7320,7625,7930,8200,8428,8645,8847,9021,9199,9320,9446,9588,9730,9885,10025,10148,10259,10365,10466,10576,10702,10848
"NVIDIA/TensorRT","TensorRT is a C++ library for high performance inference on NVIDIA GPUs and deep learning accelerators.",634,11.5,,3217,387,1.4,19.79,8.18,,2.29,2.73,3.61,3.8,3.78,,,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,1043,1156,1311,1433,1561,1731,1832,1915,2024,2147,2274,2420,2519,2649,2777,2885,3010,3130,3251
"dennybritz/reinforcement-learning","Implementation of Reinforcement Learning Algorithms. Python, OpenAI Gym, Tensorflow. Exercises and Solutions to accompany Sutton's Book and David Silver's course.",1615.2,34.3,,16100,1118,4.04,11.42,8.08,,2.64,4.34,6.59,7.6,7.63,9.54,,10.22,5170,5509,5816,6124,6397,6697,6995,7240,7921,8253,8547,8819,9133,9429,9726,10038,10256,10474,10688,11984,12341,12606,12880,13115,13311,13505,13715,13954,14226,14474,14708,14899,15091,15494,15724,15962,16186
"facebookresearch/faiss","A library for efficient similarity search and clustering of dense vectors.",1448.2,8,,12191,919,3.32,12.4,7.99,,5.86,7.36,10.58,10.16,9.72,9.22,,8.46,2835,3065,3252,3444,3620,3868,4079,4271,4502,4677,4883,5161,5444,5636,5888,6167,6429,6685,7012,7278,7529,7776,8061,8385,8628,8848,9069,9348,9677,9986,10321,10652,10951,11209,11589,11951,12352
"sebastianruder/NLP-progress","Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks.",948.1,10,,17631,1173,4.24,10.94,7.98,,2.79,5.03,7.72,8.19,10.42,13.07,,18.61,0,0,0,0,0,2333,4998,5521,5827,6221,7021,7569,8091,8568,9214,9691,10173,10577,10987,11348,11778,12086,12533,13231,13827,14396,14744,15129,15487,15894,16135,16410,16662,16926,17239,17477,17675
"ultralytics/yolov3","YOLOv3 in PyTorch > ONNX > CoreML > TFLite",883.5,11.7,,6544,606,2.19,15.23,7.98,,2.29,4.21,6.85,7.21,9.05,8.06,,7.41,0,0,0,0,0,0,0,1,331,439,482,555,655,734,935,1226,1419,1597,1803,2019,2209,2415,2693,3038,3236,3462,3762,4106,4515,4921,5223,5495,5713,5914,6183,6412,6603
"AlexeyAB/darknet","YOLOv4v / Scaled-YOLOv4 - Neural Networks for Object Detection (Windows and Linux version of Darknet )",1515.4,16.8,1,14641,1021,3.69,11.47,7.86,,7.5,11.11,15.02,16.15,23.47,16.1,,9.67,668,727,831,1056,1258,1501,1679,1863,2052,2228,2428,2649,2871,3057,3340,3641,3905,4139,4418,4660,4903,5147,5432,5810,6057,6272,6587,8059,9872,10867,11677,12274,12778,13254,13771,14286,14680
"thunlp/GNNPapers","Must-read papers on graph neural networks (GNN)",763.8,40.2,,9575,769,2.78,13.21,7.86,,3,5.98,8.55,9.55,9.47,10.83,,12.55,0,0,0,0,0,0,0,0,0,0,0,254,1657,1942,2338,2695,3021,3294,3619,4213,4608,4979,5417,5833,6111,6347,6672,7035,7293,7530,7823,8084,8384,8785,9069,9384,9623
"apachecn/pytorch-doc-zh","Pytorch 中文文档",1113.5,34.5,,2798,337,1.22,19.81,7.82,,0.71,1.28,1.87,2.26,2.64,3.28,,2.51,59,101,116,167,191,202,215,231,247,280,307,345,399,499,622,738,852,955,1078,1178,1299,1436,1590,1732,1834,1905,2011,2119,2214,2285,2384,2464,2551,2625,2690,2757,2815
"scutan90/DeepLearning-500-questions","深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.0...",943.6,21.6,,41970,2030,7.34,7.96,7.74,,4.43,7.76,11.46,13.56,17.62,36.19,,44.5,0,0,0,0,0,0,117,142,175,2925,12657,14762,15524,16111,20181,23564,24752,25597,30427,31756,32530,33682,34328,35023,35512,35934,36446,36963,37442,37822,39467,40166,40559,40896,41316,41706,42001
